Algorithm,Ciphertext,PlaintextLen,KeyLen,BlockSize,IVLen,Mode,Entropy,HexRatio,ByteMean,ByteStd
AES,3C670A3FE286635D64B954F17CA29B424BF5B6F2D21649090DCEEE06F82DFBA0E5678347D8B7A921946D3EF62D4AAEB096E18412162C5D3D57FBE3ECB2FDB6D7,32,16,16,16,CBC,3.938099545320667,1.0,135.515625,77.96112656869047
DES,22F02E9CFAD04CF10916B14CD023C31EB40299A7DFB04FC6856C99A25160995618D93D53842F81B5A219073990B1A60C,32,8,8,8,CBC,3.8652017373858825,1.0,120.35416666666667,72.64482362361103
3DES,A6E9E0AF5657A3B22C86A09BC02BEFB6BDC4E7CC5C7B177AEE970F6328EFD11FA70B1528565B4D682006D5186CEFD06B,32,24,8,8,CBC,3.8889604875595016,1.0,129.10416666666666,74.75104224003985
Blowfish,113EDDC31CCDE2E456A431622E172B9F73DBF0D4417B5B9B4CA8493CEEFAE0D3AAEB600D12539333E985684E8036570F,32,16,8,8,CBC,3.9297033864256528,1.0,125.3125,75.3118948800033
RSA,63F62904D840AA73DDBCCACC410DAAF1FC02700DF535C54C46A15C5AEAF86430A2233FD1DD805E43D08432376BB4443229FDEFCE89ACB158B2B34B3507726A45113DAAFB1528FDDF9F18DBF6ED0E192E56E2D7576325AD80478A1B2F937CA3A5F8D91ABCD463C8799F1CA7113943120794C0506570498FDED8D7B027C6D9AEC495EDD79228AA4F411B0D40D09FE1D2865932557A5AF21F4433C5618945ED25F88DC77B283433A8A7C9AC51DBCC913B31755E29F7FC4CC93DECCB54E67C7F577DE8DF3054E145278A0DC569E71C91B3C6D7A4636D12F59CA3850CFB91008A27A4F16AAA4CA6EAC1B1AA3DC78AAB83453C3D2AE5BE9B49D23BB157B86BDE5495FB,32,2048,0,0,Asymmetric,3.9737338025856697,1.0,131.48828125,73.52492043634524
ECC,F61749E05B9A4C40A03D1DFF7C0A6A74746CFBC6A2E4E61488B6F6B61A2ED4E4C77A801801A04FB39B7D4A23963A51E97D5B020912F62CDE4389A2DBFADE8D3E,32,256,0,0,Asymmetric,3.941925488835355,1.0,128.171875,77.42225025136105
Diffie-Hellman,D3B955831E70287EF66FB842F5E9C5CD644F54E95457BD7EB03EF3B7E23674F9458B98E879EFEB2B712384C23B1CADE5E7B5A7729F0AB57CF49552CA56AA1DAD80667CBB60CB4062CC28119E1CB1C6A6B8E86849D2AD21F56E83EBAAB83B8A8688427C99FDB7E3D5466F9B5044D54552CFA1051C628E93161BDD0042942261D6C232CB1B1C8C69A4FED6A6C8B03E98341F1EC5043A3ADA0AF5F629593C903555F3CBF5FEC4C78719CF0654E953667808177C86E9A472801E5E4B6BC07E0088F167DBA86F9258274693782BE83D1534BFA25EC2851D9EE517AD93CE449CEEEA8DBC2245C5680205AB32E814590E663008C568A7537ACD4E915FC0D9A5B25EB975,32,2048,0,0,KeyExchange,3.9751839786224887,1.0,130.12109375,71.46210878887993
AES,6D827DB570E0D8FF9F587273491D6FCC492A04D9FAC2903859801D9C612A8E0ED587FC4E2A9AF3FF02AEA739A9E79AF8F45C9E7662BA60417EAE70FDE9AD451B,32,16,16,16,CBC,3.9047862053059754,1.0,136.25,71.83749021228401
DES,7681D5D39040333BF7CD5063B621FE7DB46E770A97795037D35863F2F8C4EFC4ACFD98318BC705717086AC8498F00143,32,8,8,8,CBC,3.8783829729481036,1.0,138.5625,70.50558673195101
3DES,7DC9172E099197C71051A36F6FA89218C5D59EE914700C3D0C7C59B779832AA83FCAC2F1BEF7E7218CCE8FFB47883E57,32,24,8,8,CBC,3.838826018889638,1.0,126.91666666666667,71.96522115268984
Blowfish,2DA029E46D479E8DF612E6C2A10A6CCCDFC9AA697160B3B624055CA5C7F2254194183A8A09F7F91362AF7768CF08B0CD,32,16,8,8,CBC,3.911467059673168,1.0,129.54166666666666,75.78449663721173
RSA,9508E7ABD3E23BC03DB0C0DEDC734EBC772526463441F216239471CDFD6E1450461ACDC9D9FFBE9B1971DBF5F98D47809AA105BE743199EE434605EE196002570DF519DA3A21F1B0614ED038A442C837E49C4F949CABC2546D06732417D567B775DA70FE2BC7E7BD2A5BB43BB0EE7606845FE8DC69EF79410E254F14AA57D1A53465227A93C8B4EBF6CAAD0E461375CFBB97D668A40F54B9DA0EE5E90057B95465E8AB109DD777C19A17706D8158C17785F2CD9E9E10D2AD0930F500E34B56A797B066E3DFE19E7172989B23F79AC9A0C89554C85CE6DB3242D5A5FF18E908057EF2E6059471680F4718EA303836FDED347318BD93E40D5CCBBF47182A28BC29,32,2048,0,0,Asymmetric,3.976855861229483,1.0,130.609375,76.55448778229383
ECC,D5C9556581ED3DCCDE34DF8490511FEAFE7E265276898B32723C1005CDA95154349E6FB356877DEB3DD05B0D862E145C0F06983B38F297004586613228C73145,32,256,0,0,Asymmetric,3.917349359891389,1.0,111.90625,69.97627248530391
Diffie-Hellman,7F14EA6A23E3D8A122FB0919A162A15B9DCEA97BE15258E56D332F56A58FC6092A9363B375A2A00C35CFFBFBFF2A8E59FA87340C496FE5A5936A5984F47627B94DF5A9B61F98D5E289070968E5E0126D555F9F1965796B6941D7E8F8EA886A6F3E2FBD81A19C132B768EB2B1CA9056BE6A2BE312F07A65BFB4AA494ED0219747B94EA4275A85DE446FBA89E868031C969F0F2E2DBF1F64329F47A2FFAD5A56A9F65ACEE274978AC6BD595DF660CC0B20A347E84E8F5A53CFA710AA30EA167F666C5E7ACA6DE4BE7A2ABCC1D31A237271DBFC33731446A23E3AB200D05E76D9ABB2E7A955E47591DB3591FAFECA71207969C92BC6A0816214D57E5B1D0A496BED,32,2048,0,0,KeyExchange,3.957192670767681,1.0,129.53125,70.43275133726851
AES,09B09545F7FB680ECA10AC046C5ACF1C5A17C622B72572DFFDA099E2E60EE66C0DDAA612C9E26F872C405CCA1193E6D5576A5C6EDC10E2616E7A89DE583B1B2F,32,16,16,16,CBC,3.869983632192444,1.0,124.765625,78.05681868587378
DES,D37CEC133676BA89E981C06845E690AD5AA82C83DF6B1CE256B73EE51996B42E7BFCD8921A1B2A5436CC352E8CA16604,32,8,8,8,CBC,3.9063319663572127,1.0,125.35416666666667,71.34671493936416
3DES,4EAB5279963E1075857DA234FED49637E251144EF6B34419C26D69A1D3901337F2C5DDC0078042DF50547ACDA702B01C,32,24,8,8,CBC,3.9199782586916627,1.0,125.02083333333333,71.38845891299393
Blowfish,3E2026D0FAD868A06E4292F6EFEBCE635FD651A78993441B6B958E221987C2DBF541314CBAD69B3A78554ED56C7C6AE0,32,16,8,8,CBC,3.9597597738316876,1.0,134.66666666666666,68.26582030725348
